dot1xPaePortCapabilities.1 = 
dot1xPaePortCapabilities.2 = 
dot1xPaePortCapabilities.3 = 
dot1xPaePortCapabilities.4 = 
dot1xPaePortCapabilities.5 = 
dot1xPaePortCapabilities.6 = 
dot1xPaePortCapabilities.7 = 
dot1xPaePortCapabilities.8 = 
dot1xPaePortCapabilities.9 = 
dot1xPaePortCapabilities.10 = 
dot1xAuthAdminControlledDirections.1 = 0
dot1xAuthAdminControlledDirections.2 = 0
dot1xAuthAdminControlledDirections.3 = 0
dot1xAuthAdminControlledDirections.4 = 0
dot1xAuthAdminControlledDirections.5 = 0
dot1xAuthAdminControlledDirections.6 = 0
dot1xAuthAdminControlledDirections.7 = 0
dot1xAuthAdminControlledDirections.8 = 0
dot1xAuthAdminControlledDirections.9 = 0
dot1xAuthAdminControlledDirections.10 = 0
dot1xAuthOperControlledDirections.1 = 0
dot1xAuthOperControlledDirections.2 = 0
dot1xAuthOperControlledDirections.3 = 0
dot1xAuthOperControlledDirections.4 = 0
dot1xAuthOperControlledDirections.5 = 0
dot1xAuthOperControlledDirections.6 = 0
dot1xAuthOperControlledDirections.7 = 0
dot1xAuthOperControlledDirections.8 = 0
dot1xAuthOperControlledDirections.9 = 0
dot1xAuthOperControlledDirections.10 = 0
dot1xAuthAuthControlledPortControl.1 = 2
dot1xAuthAuthControlledPortControl.2 = 2
dot1xAuthAuthControlledPortControl.3 = 2
dot1xAuthAuthControlledPortControl.4 = 2
dot1xAuthAuthControlledPortControl.5 = 2
dot1xAuthAuthControlledPortControl.6 = 2
dot1xAuthAuthControlledPortControl.7 = 2
dot1xAuthAuthControlledPortControl.8 = 2
dot1xAuthAuthControlledPortControl.9 = 2
dot1xAuthAuthControlledPortControl.10 = 2
dot1xAuthQuietPeriod.1 = 60
dot1xAuthQuietPeriod.2 = 60
dot1xAuthQuietPeriod.3 = 60
dot1xAuthQuietPeriod.4 = 60
dot1xAuthQuietPeriod.5 = 60
dot1xAuthQuietPeriod.6 = 60
dot1xAuthQuietPeriod.7 = 60
dot1xAuthQuietPeriod.8 = 60
dot1xAuthQuietPeriod.9 = 60
